Sessao_Numero,Topicos_Abordados,Duracao_Total_Sessao,Tempo_Exposicao_Tema,Tempo_Exercicios_Fixacao
1,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Introdução)","30 min","18 min (Visão geral da teoria musical: notação, ritmo, harmonia.)","12 min (Identificação de símbolos básicos: notas, claves.)"
2,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Notação)","30 min","18 min (Aprofundamento em notação musical: pauta, claves, notas.)","12 min (Exercícios de escrita e leitura de notas simples.)"
3,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Ritmo)","30 min","18 min (Exploração do ritmo: figuras rítmicas, pausas, compasso.)","12 min (Prática de leitura rítmica com figuras básicas.)"
4,"1. Teoria Musical: Fundamentos da notação, ritmo e harmonia (Harmonia - Introdução)","30 min","18 min (Introdução à harmonia: acordes, tonalidades, progressões.)","12 min (Identificação de acordes maiores e menores.)"
5,"1.1. Leitura de Partitura: Habilidade de ler e interpretar símbolos musicais (Introdução)","30 min","18 min (Introdução à leitura de partitura: claves, notas, ritmos.)","12 min (Leitura de pequenas frases musicais simples.)"
6,"1.1. Leitura de Partitura: Habilidade de ler e interpretar símbolos musicais (Dinâmicas e Articulações)","30 min","18 min (Estudo de dinâmicas e articulações na partitura.)","12 min (Aplicação de dinâmicas e articulações em exercícios de leitura.)"
7,"1.2. Estrutura Harmônica: Compreensão de acordes e progressões (Acordes)","30 min","18 min (Estudo de acordes: tríades, tétrades, inversões.)","12 min (Identificação e construção de acordes.)"
8,"1.2. Estrutura Harmônica: Compreensão de acordes e progressões (Progressões)","30 min","18 min (Estudo de progressões harmônicas comuns.)","12 min (Análise de progressões em músicas simples.)"
9,"2. Treinamento Auditivo: Desenvolvimento da percepção e identificação de elementos musicais (Introdução)","30 min","18 min (Introdução ao treinamento auditivo e sua importância.)","12 min (Exercícios de reconhecimento de timbres instrumentais.)"
10,"2.1. Reconhecimento de Intervalos: Identificar as distâncias entre as notas (Intervalos Menores e Maiores)","30 min","18 min (Reconhecimento de intervalos menores e maiores.)","12 min (Identificação auditiva de intervalos menores e maiores.)"
11,"2.1. Reconhecimento de Intervalos: Identificar as distâncias entre as notas (Intervalos Justos e Diminutos/Aumentados)","30 min","18 min (Reconhecimento de intervalos justos e diminutos/aumentados.)","12 min (Identificação auditiva de intervalos justos e diminutos/aumentados.)"
12,"2.2. Ditado Rítmico e Melódico: Transcrição de trechos musicais ouvidos (Rítmico)","30 min","18 min (Ditado rítmico: transcrição de ritmos simples.)","12 min (Transcrição de padrões rítmicos curtos.)"
13,"2.2. Ditado Rítmico e Melódico: Transcrição de trechos musicais ouvidos (Melódico)","30 min","18 min (Ditado melódico: transcrição de melodias simples.)","12 min (Transcrição de melodias curtas e fáceis.)"
14,"3. História da Música: Estudo da evolução da música através dos tempos (Introdução)","30 min","18 min (Visão geral da história da música ocidental.)","12 min (Leitura sobre os períodos da história da música.)"
15,"3.1. Música Clássica: Períodos e compositores importantes (Barroco)","30 min","18 min (Estudo do período Barroco e seus principais compositores.)","12 min (Audição de obras de Bach e Handel.)"
16,"3.1. Música Clássica: Períodos e compositores importantes (Classicismo)","30 min","18 min (Estudo do período Clássico e seus principais compositores.)","12 min (Audição de obras de Mozart e Haydn.)"
17,"3.1. Música Clássica: Períodos e compositores importantes (Romantismo)","30 min","18 min (Estudo do período Romântico e seus principais compositores.)","12 min (Audição de obras de Beethoven e Chopin.)"
18,"3.2. Música Popular: Desenvolvimento de gêneros e estilos (Blues)","30 min","18 min (Estudo do gênero Blues: origens, características.)","12 min (Audição de músicas de Blues clássicas.)"
19,"3.2. Música Popular: Desenvolvimento de gêneros e estilos (Jazz)","30 min","18 min (Estudo do gênero Jazz: origens, características.)","12 min (Audição de músicas de Jazz clássicas.)"
20,"3.2. Música Popular: Desenvolvimento de gêneros e estilos (Rock)","30 min","18 min (Estudo do gênero Rock: origens, características.)","12 min (Audição de músicas de Rock clássicas.)"
21,"4. Instrumento Principal: Prática e desenvolvimento de habilidades em um instrumento escolhido (Aquecimento)","30 min","5 min (Exercícios de aquecimento e alongamento.)","25 min (Prática de escalas e arpejos.)"
22,"4. Instrumento Principal: Prática e desenvolvimento de habilidades em um instrumento escolhido (Repertório)","30 min","5 min (Revisão da técnica.)","25 min (Prática de peças do repertório.)"
23,"4.1. Técnica: Exercícios para aprimorar a execução (Escalas)","30 min","10 min (Estudo de escalas maiores e menores.)","20 min (Prática de escalas em diferentes tonalidades.)"
24,"4.1. Técnica: Exercícios para aprimorar a execução (Arpejos)","30 min","10 min (Estudo de arpejos maiores e menores.)","20 min (Prática de arpejos em diferentes tonalidades.)"
25,"4.2. Repertório: Estudo de peças musicais variadas (Peça 1 - Trecho)","30 min","10 min (Análise da partitura da peça.)","20 min (Prática do trecho selecionado da peça.)"
26,"4.2. Repertório: Estudo de peças musicais variadas (Peça 1 - Trecho 2)","30 min","10 min (Análise da partitura do segundo trecho da peça.)","20 min (Prática do segundo trecho selecionado da peça.)"
27,"5. Performance: Prática de tocar em público e desenvolver presença de palco (Exercícios de presença de palco)","30 min","15 min (Exercícios de postura e comunicação com o público.)","15 min (Simulação de apresentação com feedback.)"
28,"5.1. Música de Câmara: Tocar em pequenos grupos (Leitura à primeira vista)","30 min","15 min (Leitura à primeira vista de uma peça simples.)","15 min (Discussão em grupo sobre a peça.)"
29,"5.2. Apresentações Solo: Desenvolver confiança e expressão individual (Preparação para apresentação)","30 min","15 min (Escolha da peça e planejamento da apresentação.)","15 min (Prática da peça com foco na expressão.)"
30,"6. Composição e Arranjo: Criação de peças musicais e adaptação de músicas existentes (Melodia)","30 min","15 min (Criação de melodias simples.)","15 min (Harmonização da melodia.)"
31,"6.1. Improvisação: Criação espontânea de melodias e harmonias (Improvisação livre)","30 min","15 min (Improvisação livre sobre um tema.)","15 min (Gravação e análise da improvisação.)"
32,"6.2. Orquestração: Distribuição de melodias e harmonias entre diferentes instrumentos (Instrumentação Básica)","30 min","15 min (Estudo das características dos instrumentos básicos.)","15 min (Exercícios de instrumentação simples.)"
33,"7. Música e Tecnologia: Uso de softwares e equipamentos para produção musical (Introdução ao DAW)","30 min","15 min (Introdução a um software DAW (Digital Audio Workstation). )","15 min (Exploração da interface do DAW.)"
34,"7.1. Gravação: Técnicas de captação e edição de áudio (Microfones)","30 min","15 min (Estudo de diferentes tipos de microfones.)","15 min (Testes de gravação com diferentes microfones.)"
35,"7.2. Produção Musical: Criação de arranjos e mixagem de faixas (Mixagem Básica)","30 min","15 min (Conceitos básicos de mixagem: volume, equalização, panning.)","15 min (Exercícios de mixagem simples.)"
36,"8. Conjunto Musical: Participação em grupos musicais (Preparação para Ensaio)","30 min","10 min (Leitura da partitura e identificação de dificuldades.)","20 min (Prática individual da peça.)"
37,"8.1. Orquestra/Banda: Tocar em grandes formações (Ensaio - Ritmo)","30 min","10 min (Foco no ritmo e sincronização.)","20 min (Prática em conjunto do ritmo.)"
38,"8.1. Orquestra/Banda: Tocar em grandes formações (Ensaio - Melodia/Harmonia)","30 min","10 min (Foco na melodia e harmonia.)","20 min (Prática em conjunto da melodia e harmonia.)"
39,"8.2. Coral: Prática de canto em grupo (Técnica Vocal)","30 min","15 min (Exercícios de técnica vocal em grupo.)","15 min (Prática de peças corais.)"
40,"9. Condução: Técnicas básicas para dirigir e ensaiar conjuntos (Gestos Básicos)","30 min","15 min (Estudo dos gestos básicos de condução.)","15 min (Prática dos gestos.)"
41,"9.1. Habilidade de Ensaio: Preparação para conduzir ensaios e apresentações (Planejamento do Ensaio)","30 min","15 min (Planejamento de um ensaio: objetivos, repertório, tempo.)","15 min (Simulação de um ensaio.)"
42,"9.2. Análise de Partitura: Preparação de partituras para conduzir ensaios (Marcações)","30 min","15 min (Marcações na partitura para facilitar a condução.)","15 min (Prática de marcações.)"
43,"10. Outras áreas da música: Estudo de etnomusicologia e produção musical (Introdução)","30 min","10 min (Visão geral das áreas.)","20 min (Discussão sobre os temas.)"
44,"10.1. Etnomusicologia: Explorar a música em diferentes contextos culturais e sociais (Música Africana)","30 min","15 min (Estudo da música africana: ritmos, instrumentos.)","15 min (Audição de exemplos de música africana.)"
45,"10.1. Etnomusicologia: Explorar a música em diferentes contextos culturais e sociais (Música Asiática)","30 min","15 min (Estudo da música asiática: escalas, instrumentos.)","15 min (Audição de exemplos de música asiática.)"
46,"10.2. Empreendedorismo: Desenvolver as aptidões de gestão para a área musical (Marketing Musical)","30 min","15 min (Estratégias de marketing para músicos.)","15 min (Análise de cases de sucesso.)"
47,"10.2. Empreendedorismo: Desenvolver as aptidões de gestão para a área musical (Finanças para Músicos)","30 min","15 min (Gestão financeira para músicos: orçamento, impostos.)","15 min (Exercícios de planejamento financeiro.)"